xcoord,ycoord,zcoord,atom_num,mat_org,matnum_org,surf_flag,num_neighbor,nb_vector_x,nb_vector_y,nb_vector_z,nb_vector_sum,polar_delta
-3.7116999622,12.4374017716,-26.131182670199998,9,Cr,45,internal,,,,,,
-3.7116999622,12.4374017716,-18.7104473112,10,Cr,45,internal,,,,,,
-2.4744415282,10.6605997086,-29.8416996002,11,Cr,45,internal,,,,,,
-2.4744415282,10.6605997086,-22.420964241199997,12,Cr,45,internal,,,,,,
-2.4744415282,10.6605997086,-14.999930382199999,13,Cr,45,internal,,,,,,
-1.2372584342000001,12.4374017716,-26.131182670199998,14,Cr,45,internal,,,,,,
-1.2372584342000001,12.4374017716,-18.7104473112,15,Cr,45,internal,,,,,,
-7.4233999252,14.2140974996,-29.8416996002,16,Cr,45,internal,,,,,,
-7.4233999252,14.2140974996,-22.420964241199997,17,Cr,45,internal,,,,,,
-7.4233999252,14.2140974996,-14.999930382199999,18,Cr,45,internal,,,,,,
-6.1861418482,15.9908995626,-26.131182670199998,19,Cr,45,internal,,,,,,
-6.1861418482,15.9908995626,-18.7104473112,20,Cr,45,internal,,,,,,
-4.9489579202,14.2140974996,-29.8416996002,21,Cr,45,internal,,,,,,
-4.9489579202,14.2140974996,-22.420964241199997,22,Cr,45,internal,,,,,,
-4.9489579202,14.2140974996,-14.999930382199999,23,Cr,45,internal,,,,,,
-3.7116999622,15.9908995626,-26.131182670199998,24,Cr,45,internal,,,,,,
-3.7116999622,15.9908995626,-18.7104473112,25,Cr,45,internal,,,,,,
-2.4744415282,14.2140974996,-29.8416996002,26,Cr,45,internal,,,,,,
-2.4744415282,14.2140974996,-22.420964241199997,27,Cr,45,internal,,,,,,
-2.4744415282,14.2140974996,-14.999930382199999,28,Cr,45,internal,,,,,,
-1.2372584342000001,15.9908995626,-26.131182670199998,29,Cr,45,internal,,,,,,
-1.2372584342000001,15.9908995626,-18.7104473112,30,Cr,45,internal,,,,,,
-7.4233999252,17.767702102599998,-29.8416996002,31,Cr,45,internal,,,,,,
-7.4233999252,17.767702102599998,-22.420964241199997,32,Cr,45,internal,,,,,,
-7.4233999252,17.767702102599998,-14.999930382199999,33,Cr,45,internal,,,,,,
-6.1861418482,19.5443973546,-26.131182670199998,34,Cr,45,internal,,,,,,
-6.1861418482,19.5443973546,-18.7104473112,35,Cr,45,internal,,,,,,
-4.9489579202,17.767702102599998,-29.8416996002,36,Cr,45,internal,,,,,,
-4.9489579202,17.767702102599998,-22.420964241199997,37,Cr,45,internal,,,,,,
-4.9489579202,17.767702102599998,-14.999930382199999,38,Cr,45,internal,,,,,,
-3.7116999622,19.5443973546,-26.131182670199998,39,Cr,45,internal,,,,,,
-3.7116999622,19.5443973546,-18.7104473112,40,Cr,45,internal,,,,,,
-2.4744415282,17.767702102599998,-29.8416996002,41,Cr,45,internal,,,,,,
-2.4744415282,17.767702102599998,-22.420964241199997,42,Cr,45,internal,,,,,,
-2.4744415282,17.767702102599998,-14.999930382199999,43,Cr,45,internal,,,,,,
-1.2372584342000001,19.5443973546,-26.131182670199998,44,Cr,45,internal,,,,,,
-1.2372584342000001,19.5443973546,-18.7104473112,45,Cr,45,internal,,,,,,
-7.4233999252,10.6605997086,-24.901107788199997,46,Ni,72,internal,,,,,,
-7.4233999252,10.6605997086,-17.480073929199996,47,Ni,72,internal,,,,,,
-6.1861418482,12.4374017716,-23.6510391232,48,Ni,72,internal,,,,,,
-6.1861418482,12.4374017716,-16.230302810199998,49,Ni,72,internal,,,,,,
-6.1861418482,12.4374017716,-28.611326337199998,50,Ni,72,internal,,,,,,
-6.1861418482,12.4374017716,-21.190590858199997,51,Ni,72,internal,,,,,,
-7.4233999252,10.6605997086,-27.361556053199998,52,Ni,72,internal,,,,,,
-7.4233999252,10.6605997086,-19.9405221942,53,Ni,72,internal,,,,,,
-4.9489579202,10.6605997086,-24.901107788199997,54,Ni,72,internal,,,,,,
-4.9489579202,10.6605997086,-17.480073929199996,55,Ni,72,internal,,,,,,
-3.7116999622,12.4374017716,-23.6510391232,56,Ni,72,internal,,,,,,
-3.7116999622,12.4374017716,-16.230302810199998,57,Ni,72,internal,,,,,,
-3.7116999622,12.4374017716,-28.611326337199998,58,Ni,72,internal,,,,,,
-3.7116999622,12.4374017716,-21.190590858199997,59,Ni,72,internal,,,,,,
-4.9489579202,10.6605997086,-27.361556053199998,60,Ni,72,internal,,,,,,
-4.9489579202,10.6605997086,-19.9405221942,61,Ni,72,internal,,,,,,
-2.4744415282,10.6605997086,-24.901107788199997,62,Ni,72,internal,,,,,,
-2.4744415282,10.6605997086,-17.480073929199996,63,Ni,72,internal,,,,,,
-1.2372584342000001,12.4374017716,-23.6510391232,64,Ni,72,internal,,,,,,
-1.2372584342000001,12.4374017716,-16.230302810199998,65,Ni,72,internal,,,,,,
-1.2372584342000001,12.4374017716,-28.611326337199998,66,Ni,72,internal,,,,,,
-1.2372584342000001,12.4374017716,-21.190590858199997,67,Ni,72,internal,,,,,,
-2.4744415282,10.6605997086,-27.361556053199998,68,Ni,72,internal,,,,,,
-2.4744415282,10.6605997086,-19.9405221942,69,Ni,72,internal,,,,,,
-7.4233999252,14.2140974996,-24.901107788199997,70,Ni,72,internal,,,,,,
-7.4233999252,14.2140974996,-17.480073929199996,71,Ni,72,internal,,,,,,
-6.1861418482,15.9908995626,-23.6510391232,72,Ni,72,internal,,,,,,
-6.1861418482,15.9908995626,-16.230302810199998,73,Ni,72,internal,,,,,,
-6.1861418482,15.9908995626,-28.611326337199998,74,Ni,72,internal,,,,,,
-6.1861418482,15.9908995626,-21.190590858199997,75,Ni,72,internal,,,,,,
-7.4233999252,14.2140974996,-27.361556053199998,76,Ni,72,internal,,,,,,
-7.4233999252,14.2140974996,-19.9405221942,77,Ni,72,internal,,,,,,
-4.9489579202,14.2140974996,-24.901107788199997,78,Ni,72,internal,,,,,,
-4.9489579202,14.2140974996,-17.480073929199996,79,Ni,72,internal,,,,,,
-3.7116999622,15.9908995626,-23.6510391232,80,Ni,72,internal,,,,,,
-3.7116999622,15.9908995626,-16.230302810199998,81,Ni,72,internal,,,,,,
-3.7116999622,15.9908995626,-28.611326337199998,82,Ni,72,internal,,,,,,
-3.7116999622,15.9908995626,-21.190590858199997,83,Ni,72,internal,,,,,,
-4.9489579202,14.2140974996,-27.361556053199998,84,Ni,72,internal,,,,,,
-4.9489579202,14.2140974996,-19.9405221942,85,Ni,72,internal,,,,,,
-2.4744415282,14.2140974996,-24.901107788199997,86,Ni,72,internal,,,,,,
-2.4744415282,14.2140974996,-17.480073929199996,87,Ni,72,internal,,,,,,
-1.2372584342000001,15.9908995626,-23.6510391232,88,Ni,72,internal,,,,,,
-1.2372584342000001,15.9908995626,-16.230302810199998,89,Ni,72,internal,,,,,,
-1.2372584342000001,15.9908995626,-28.611326337199998,90,Ni,72,internal,,,,,,
-1.2372584342000001,15.9908995626,-21.190590858199997,91,Ni,72,internal,,,,,,
-2.4744415282,14.2140974996,-27.361556053199998,92,Ni,72,internal,,,,,,
-2.4744415282,14.2140974996,-19.9405221942,93,Ni,72,internal,,,,,,
-7.4233999252,17.767702102599998,-24.901107788199997,94,Ni,72,internal,,,,,,
-7.4233999252,17.767702102599998,-17.480073929199996,95,Ni,72,internal,,,,,,
-6.1861418482,19.5443973546,-23.6510391232,96,Ni,72,internal,,,,,,
-6.1861418482,19.5443973546,-16.230302810199998,97,Ni,72,internal,,,,,,
-6.1861418482,19.5443973546,-28.611326337199998,98,Ni,72,internal,,,,,,
-6.1861418482,19.5443973546,-21.190590858199997,99,Ni,72,internal,,,,,,
-7.4233999252,17.767702102599998,-27.361556053199998,100,Ni,72,internal,,,,,,
-7.4233999252,17.767702102599998,-19.9405221942,101,Ni,72,internal,,,,,,
-4.9489579202,17.767702102599998,-24.901107788199997,102,Ni,72,internal,,,,,,
-4.9489579202,17.767702102599998,-17.480073929199996,103,Ni,72,internal,,,,,,
-3.7116999622,19.5443973546,-23.6510391232,104,Ni,72,internal,,,,,,
-3.7116999622,19.5443973546,-16.230302810199998,105,Ni,72,internal,,,,,,
-3.7116999622,19.5443973546,-28.611326337199998,106,Ni,72,internal,,,,,,
-3.7116999622,19.5443973546,-21.190590858199997,107,Ni,72,internal,,,,,,
-4.9489579202,17.767702102599998,-27.361556053199998,108,Ni,72,internal,,,,,,
-4.9489579202,17.767702102599998,-19.9405221942,109,Ni,72,internal,,,,,,
-2.4744415282,17.767702102599998,-24.901107788199997,110,Ni,72,internal,,,,,,
-2.4744415282,17.767702102599998,-17.480073929199996,111,Ni,72,internal,,,,,,
-1.2372584342000001,19.5443973546,-23.6510391232,112,Ni,72,internal,,,,,,
-1.2372584342000001,19.5443973546,-16.230302810199998,113,Ni,72,internal,,,,,,
-1.2372584342000001,19.5443973546,-28.611326337199998,114,Ni,72,internal,,,,,,
-1.2372584342000001,19.5443973546,-21.190590858199997,115,Ni,72,internal,,,,,,
-2.4744415282,17.767702102599998,-27.361556053199998,116,Ni,72,internal,,,,,,
-2.4744415282,17.767702102599998,-19.9405221942,117,Ni,72,internal,,,,,,
-7.4233999252,10.6605997086,0.0,1,Cr,45,internal,,,,,,
-7.4233999252,10.6605997086,7.420735359,2,Cr,45,internal,,,,,,
-7.4233999252,10.6605997086,14.841769218,3,Cr,45,internal,,,,,,
-6.1861418482,12.4374017716,3.71051693,4,Cr,45,internal,,,,,,
-6.1861418482,12.4374017716,11.131252289,5,Cr,45,internal,,,,,,
-4.9489579202,10.6605997086,0.0,6,Cr,45,internal,,,,,,
-4.9489579202,10.6605997086,7.420735359,7,Cr,45,internal,,,,,,
-4.9489579202,10.6605997086,14.841769218,8,Cr,45,internal,,,,,,
-3.7116999622,12.4374017716,3.71051693,9,Cr,45,internal,,,,,,
-3.7116999622,12.4374017716,11.131252289,10,Cr,45,internal,,,,,,
-2.4744415282,10.6605997086,0.0,11,Cr,45,internal,,,,,,
-2.4744415282,10.6605997086,7.420735359,12,Cr,45,internal,,,,,,
-2.4744415282,10.6605997086,14.841769218,13,Cr,45,internal,,,,,,
-1.2372584342000001,12.4374017716,3.71051693,14,Cr,45,internal,,,,,,
-1.2372584342000001,12.4374017716,11.131252289,15,Cr,45,internal,,,,,,
-7.4233999252,14.2140974996,0.0,16,Cr,45,internal,,,,,,
-7.4233999252,14.2140974996,7.420735359,17,Cr,45,internal,,,,,,
-7.4233999252,14.2140974996,14.841769218,18,Cr,45,internal,,,,,,
-6.1861418482,15.9908995626,3.71051693,19,Cr,45,internal,,,,,,
-6.1861418482,15.9908995626,11.131252289,20,Cr,45,internal,,,,,,
-4.9489579202,14.2140974996,0.0,21,Cr,45,internal,,,,,,
-4.9489579202,14.2140974996,7.420735359,22,Cr,45,internal,,,,,,
-4.9489579202,14.2140974996,14.841769218,23,Cr,45,internal,,,,,,
-3.7116999622,15.9908995626,3.71051693,24,Cr,45,internal,,,,,,
-3.7116999622,15.9908995626,11.131252289,25,Cr,45,internal,,,,,,
-2.4744415282,14.2140974996,0.0,26,Cr,45,internal,,,,,,
-2.4744415282,14.2140974996,7.420735359,27,Cr,45,internal,,,,,,
-2.4744415282,14.2140974996,14.841769218,28,Cr,45,internal,,,,,,
-1.2372584342000001,15.9908995626,3.71051693,29,Cr,45,internal,,,,,,
-1.2372584342000001,15.9908995626,11.131252289,30,Cr,45,internal,,,,,,
-7.4233999252,17.767702102599998,0.0,31,Cr,45,internal,,,,,,
-7.4233999252,17.767702102599998,7.420735359,32,Cr,45,internal,,,,,,
-7.4233999252,17.767702102599998,14.841769218,33,Cr,45,internal,,,,,,
-6.1861418482,19.5443973546,3.71051693,34,Cr,45,internal,,,,,,
-6.1861418482,19.5443973546,11.131252289,35,Cr,45,internal,,,,,,
-4.9489579202,17.767702102599998,0.0,36,Cr,45,internal,,,,,,
-4.9489579202,17.767702102599998,7.420735359,37,Cr,45,internal,,,,,,
-4.9489579202,17.767702102599998,14.841769218,38,Cr,45,internal,,,,,,
-3.7116999622,19.5443973546,3.71051693,39,Cr,45,internal,,,,,,
-3.7116999622,19.5443973546,11.131252289,40,Cr,45,internal,,,,,,
-2.4744415282,17.767702102599998,0.0,41,Cr,45,internal,,,,,,
-2.4744415282,17.767702102599998,7.420735359,42,Cr,45,internal,,,,,,
-2.4744415282,17.767702102599998,14.841769218,43,Cr,45,internal,,,,,,
-1.2372584342000001,19.5443973546,3.71051693,44,Cr,45,internal,,,,,,
-1.2372584342000001,19.5443973546,11.131252289,45,Cr,45,internal,,,,,,
-7.4233999252,10.6605997086,4.940591812,46,Ni,72,internal,,,,,,
-7.4233999252,10.6605997086,12.361625671,47,Ni,72,internal,,,,,,
-6.1861418482,12.4374017716,6.190660477,48,Ni,72,internal,,,,,,
-6.1861418482,12.4374017716,13.61139679,49,Ni,72,internal,,,,,,
-6.1861418482,12.4374017716,1.230373263,50,Ni,72,internal,,,,,,
-6.1861418482,12.4374017716,8.651108742,51,Ni,72,internal,,,,,,
-7.4233999252,10.6605997086,2.480143547,52,Ni,72,internal,,,,,,
-7.4233999252,10.6605997086,9.901177406,53,Ni,72,internal,,,,,,
-4.9489579202,10.6605997086,4.940591812,54,Ni,72,internal,,,,,,
-4.9489579202,10.6605997086,12.361625671,55,Ni,72,internal,,,,,,
-3.7116999622,12.4374017716,6.190660477,56,Ni,72,internal,,,,,,
-3.7116999622,12.4374017716,13.61139679,57,Ni,72,internal,,,,,,
-3.7116999622,12.4374017716,1.230373263,58,Ni,72,internal,,,,,,
-3.7116999622,12.4374017716,8.651108742,59,Ni,72,internal,,,,,,
-4.9489579202,10.6605997086,2.480143547,60,Ni,72,internal,,,,,,
-4.9489579202,10.6605997086,9.901177406,61,Ni,72,internal,,,,,,
-2.4744415282,10.6605997086,4.940591812,62,Ni,72,internal,,,,,,
-2.4744415282,10.6605997086,12.361625671,63,Ni,72,internal,,,,,,
-1.2372584342000001,12.4374017716,6.190660477,64,Ni,72,internal,,,,,,
-1.2372584342000001,12.4374017716,13.61139679,65,Ni,72,internal,,,,,,
-1.2372584342000001,12.4374017716,1.230373263,66,Ni,72,internal,,,,,,
-1.2372584342000001,12.4374017716,8.651108742,67,Ni,72,internal,,,,,,
-2.4744415282,10.6605997086,2.480143547,68,Ni,72,internal,,,,,,
-2.4744415282,10.6605997086,9.901177406,69,Ni,72,internal,,,,,,
-7.4233999252,14.2140974996,4.940591812,70,Ni,72,internal,,,,,,
-7.4233999252,14.2140974996,12.361625671,71,Ni,72,internal,,,,,,
-6.1861418482,15.9908995626,6.190660477,72,Ni,72,internal,,,,,,
-6.1861418482,15.9908995626,13.61139679,73,Ni,72,internal,,,,,,
-6.1861418482,15.9908995626,1.230373263,74,Ni,72,internal,,,,,,
-6.1861418482,15.9908995626,8.651108742,75,Ni,72,internal,,,,,,
-7.4233999252,14.2140974996,2.480143547,76,Ni,72,internal,,,,,,
-7.4233999252,14.2140974996,9.901177406,77,Ni,72,internal,,,,,,
-4.9489579202,14.2140974996,4.940591812,78,Ni,72,internal,,,,,,
-4.9489579202,14.2140974996,12.361625671,79,Ni,72,internal,,,,,,
-3.7116999622,15.9908995626,6.190660477,80,Ni,72,internal,,,,,,
-3.7116999622,15.9908995626,13.61139679,81,Ni,72,internal,,,,,,
-3.7116999622,15.9908995626,1.230373263,82,Ni,72,internal,,,,,,
-3.7116999622,15.9908995626,8.651108742,83,Ni,72,internal,,,,,,
-4.9489579202,14.2140974996,2.480143547,84,Ni,72,internal,,,,,,
-4.9489579202,14.2140974996,9.901177406,85,Ni,72,internal,,,,,,
-2.4744415282,14.2140974996,4.940591812,86,Ni,72,internal,,,,,,
-2.4744415282,14.2140974996,12.361625671,87,Ni,72,internal,,,,,,
-1.2372584342000001,15.9908995626,6.190660477,88,Ni,72,internal,,,,,,
-1.2372584342000001,15.9908995626,13.61139679,89,Ni,72,internal,,,,,,
-1.2372584342000001,15.9908995626,1.230373263,90,Ni,72,internal,,,,,,
-1.2372584342000001,15.9908995626,8.651108742,91,Ni,72,internal,,,,,,
-2.4744415282,14.2140974996,2.480143547,92,Ni,72,internal,,,,,,
-2.4744415282,14.2140974996,9.901177406,93,Ni,72,internal,,,,,,
-7.4233999252,17.767702102599998,4.940591812,94,Ni,72,internal,,,,,,
-7.4233999252,17.767702102599998,12.361625671,95,Ni,72,internal,,,,,,
-6.1861418482,19.5443973546,6.190660477,96,Ni,72,internal,,,,,,
-6.1861418482,19.5443973546,13.61139679,97,Ni,72,internal,,,,,,
-6.1861418482,19.5443973546,1.230373263,98,Ni,72,internal,,,,,,
-6.1861418482,19.5443973546,8.651108742,99,Ni,72,internal,,,,,,
-7.4233999252,17.767702102599998,2.480143547,100,Ni,72,internal,,,,,,
-7.4233999252,17.767702102599998,9.901177406,101,Ni,72,internal,,,,,,
-4.9489579202,17.767702102599998,4.940591812,102,Ni,72,internal,,,,,,
-4.9489579202,17.767702102599998,12.361625671,103,Ni,72,internal,,,,,,
-3.7116999622,19.5443973546,6.190660477,104,Ni,72,internal,,,,,,
-3.7116999622,19.5443973546,13.61139679,105,Ni,72,internal,,,,,,
-3.7116999622,19.5443973546,1.230373263,106,Ni,72,internal,,,,,,
-3.7116999622,19.5443973546,8.651108742,107,Ni,72,internal,,,,,,
-4.9489579202,17.767702102599998,2.480143547,108,Ni,72,internal,,,,,,
-4.9489579202,17.767702102599998,9.901177406,109,Ni,72,internal,,,,,,
-2.4744415282,17.767702102599998,4.940591812,110,Ni,72,internal,,,,,,
-2.4744415282,17.767702102599998,12.361625671,111,Ni,72,internal,,,,,,
-1.2372584342000001,19.5443973546,6.190660477,112,Ni,72,internal,,,,,,
-1.2372584342000001,19.5443973546,13.61139679,113,Ni,72,internal,,,,,,
-1.2372584342000001,19.5443973546,1.230373263,114,Ni,72,internal,,,,,,
-1.2372584342000001,19.5443973546,8.651108742,115,Ni,72,internal,,,,,,
-2.4744415282,17.767702102599998,2.480143547,116,Ni,72,internal,,,,,,
-2.4744415282,17.767702102599998,9.901177406,117,Ni,72,internal,,,,,,
-7.4233999252,10.6605997086,29.8416996002,1,Cr,45,internal,,,,,,
-7.4233999252,10.6605997086,37.2624349592,2,Cr,45,internal,,,,,,
-7.4233999252,10.6605997086,44.6834688182,3,Cr,45,internal,,,,,,
-6.1861418482,12.4374017716,33.5522165302,4,Cr,45,internal,,,,,,
-6.1861418482,12.4374017716,40.9729518892,5,Cr,45,internal,,,,,,
-4.9489579202,10.6605997086,29.8416996002,6,Cr,45,internal,,,,,,
-4.9489579202,10.6605997086,37.2624349592,7,Cr,45,internal,,,,,,
-4.9489579202,10.6605997086,44.6834688182,8,Cr,45,internal,,,,,,
-3.7116999622,12.4374017716,33.5522165302,9,Cr,45,internal,,,,,,
-3.7116999622,12.4374017716,40.9729518892,10,Cr,45,internal,,,,,,
-2.4744415282,10.6605997086,29.8416996002,11,Cr,45,internal,,,,,,
-2.4744415282,10.6605997086,37.2624349592,12,Cr,45,internal,,,,,,
-2.4744415282,10.6605997086,44.6834688182,13,Cr,45,internal,,,,,,
-1.2372584342000001,12.4374017716,33.5522165302,14,Cr,45,internal,,,,,,
-1.2372584342000001,12.4374017716,40.9729518892,15,Cr,45,internal,,,,,,
-7.4233999252,14.2140974996,29.8416996002,16,Cr,45,internal,,,,,,
-7.4233999252,14.2140974996,37.2624349592,17,Cr,45,internal,,,,,,
-7.4233999252,14.2140974996,44.6834688182,18,Cr,45,internal,,,,,,
-6.1861418482,15.9908995626,33.5522165302,19,Cr,45,internal,,,,,,
-6.1861418482,15.9908995626,40.9729518892,20,Cr,45,internal,,,,,,
-4.9489579202,14.2140974996,29.8416996002,21,Cr,45,internal,,,,,,
-4.9489579202,14.2140974996,37.2624349592,22,Cr,45,internal,,,,,,
-4.9489579202,14.2140974996,44.6834688182,23,Cr,45,internal,,,,,,
-3.7116999622,15.9908995626,33.5522165302,24,Cr,45,internal,,,,,,
-3.7116999622,15.9908995626,40.9729518892,25,Cr,45,internal,,,,,,
-2.4744415282,14.2140974996,29.8416996002,26,Cr,45,internal,,,,,,
-2.4744415282,14.2140974996,37.2624349592,27,Cr,45,internal,,,,,,
-2.4744415282,14.2140974996,44.6834688182,28,Cr,45,internal,,,,,,
-1.2372584342000001,15.9908995626,33.5522165302,29,Cr,45,internal,,,,,,
-1.2372584342000001,15.9908995626,40.9729518892,30,Cr,45,internal,,,,,,
-7.4233999252,17.767702102599998,29.8416996002,31,Cr,45,internal,,,,,,
-7.4233999252,17.767702102599998,37.2624349592,32,Cr,45,internal,,,,,,
-7.4233999252,17.767702102599998,44.6834688182,33,Cr,45,internal,,,,,,
-6.1861418482,19.5443973546,33.5522165302,34,Cr,45,internal,,,,,,
-6.1861418482,19.5443973546,40.9729518892,35,Cr,45,internal,,,,,,
-4.9489579202,17.767702102599998,29.8416996002,36,Cr,45,internal,,,,,,
-4.9489579202,17.767702102599998,37.2624349592,37,Cr,45,internal,,,,,,
-4.9489579202,17.767702102599998,44.6834688182,38,Cr,45,internal,,,,,,
-3.7116999622,19.5443973546,33.5522165302,39,Cr,45,internal,,,,,,
-3.7116999622,19.5443973546,40.9729518892,40,Cr,45,internal,,,,,,
-2.4744415282,17.767702102599998,29.8416996002,41,Cr,45,internal,,,,,,
-2.4744415282,17.767702102599998,37.2624349592,42,Cr,45,internal,,,,,,
-2.4744415282,17.767702102599998,44.6834688182,43,Cr,45,internal,,,,,,
-1.2372584342000001,19.5443973546,33.5522165302,44,Cr,45,internal,,,,,,
-1.2372584342000001,19.5443973546,40.9729518892,45,Cr,45,internal,,,,,,
-7.4233999252,10.6605997086,34.782291412199996,46,Ni,72,internal,,,,,,
-7.4233999252,10.6605997086,42.2033252712,47,Ni,72,internal,,,,,,
-6.1861418482,12.4374017716,36.032360077199996,48,Ni,72,internal,,,,,,
-6.1861418482,12.4374017716,43.4530963902,49,Ni,72,internal,,,,,,
-6.1861418482,12.4374017716,31.0720728632,50,Ni,72,internal,,,,,,
-6.1861418482,12.4374017716,38.4928083422,51,Ni,72,internal,,,,,,
-7.4233999252,10.6605997086,32.3218431472,52,Ni,72,internal,,,,,,
-7.4233999252,10.6605997086,39.7428770062,53,Ni,72,internal,,,,,,
-4.9489579202,10.6605997086,34.782291412199996,54,Ni,72,internal,,,,,,
-4.9489579202,10.6605997086,42.2033252712,55,Ni,72,internal,,,,,,
-3.7116999622,12.4374017716,36.032360077199996,56,Ni,72,internal,,,,,,
-3.7116999622,12.4374017716,43.4530963902,57,Ni,72,internal,,,,,,
-3.7116999622,12.4374017716,31.0720728632,58,Ni,72,internal,,,,,,
-3.7116999622,12.4374017716,38.4928083422,59,Ni,72,internal,,,,,,
-4.9489579202,10.6605997086,32.3218431472,60,Ni,72,internal,,,,,,
-4.9489579202,10.6605997086,39.7428770062,61,Ni,72,internal,,,,,,
-2.4744415282,10.6605997086,34.782291412199996,62,Ni,72,internal,,,,,,
-2.4744415282,10.6605997086,42.2033252712,63,Ni,72,internal,,,,,,
-1.2372584342000001,12.4374017716,36.032360077199996,64,Ni,72,internal,,,,,,
-1.2372584342000001,12.4374017716,43.4530963902,65,Ni,72,internal,,,,,,
-1.2372584342000001,12.4374017716,31.0720728632,66,Ni,72,internal,,,,,,
-1.2372584342000001,12.4374017716,38.4928083422,67,Ni,72,internal,,,,,,
-2.4744415282,10.6605997086,32.3218431472,68,Ni,72,internal,,,,,,
-2.4744415282,10.6605997086,39.7428770062,69,Ni,72,internal,,,,,,
-7.4233999252,14.2140974996,34.782291412199996,70,Ni,72,internal,,,,,,
-7.4233999252,14.2140974996,42.2033252712,71,Ni,72,internal,,,,,,
-6.1861418482,15.9908995626,36.032360077199996,72,Ni,72,internal,,,,,,
-6.1861418482,15.9908995626,43.4530963902,73,Ni,72,internal,,,,,,
-6.1861418482,15.9908995626,31.0720728632,74,Ni,72,internal,,,,,,
-6.1861418482,15.9908995626,38.4928083422,75,Ni,72,internal,,,,,,
-7.4233999252,14.2140974996,32.3218431472,76,Ni,72,internal,,,,,,
-7.4233999252,14.2140974996,39.7428770062,77,Ni,72,internal,,,,,,
-4.9489579202,14.2140974996,34.782291412199996,78,Ni,72,internal,,,,,,
-4.9489579202,14.2140974996,42.2033252712,79,Ni,72,internal,,,,,,
-3.7116999622,15.9908995626,36.032360077199996,80,Ni,72,internal,,,,,,
-3.7116999622,15.9908995626,43.4530963902,81,Ni,72,internal,,,,,,
-3.7116999622,15.9908995626,31.0720728632,82,Ni,72,internal,,,,,,
-3.7116999622,15.9908995626,38.4928083422,83,Ni,72,internal,,,,,,
-4.9489579202,14.2140974996,32.3218431472,84,Ni,72,internal,,,,,,
-4.9489579202,14.2140974996,39.7428770062,85,Ni,72,internal,,,,,,
-2.4744415282,14.2140974996,34.782291412199996,86,Ni,72,internal,,,,,,
-2.4744415282,14.2140974996,42.2033252712,87,Ni,72,internal,,,,,,
-1.2372584342000001,15.9908995626,36.032360077199996,88,Ni,72,internal,,,,,,
-1.2372584342000001,15.9908995626,43.4530963902,89,Ni,72,internal,,,,,,
-1.2372584342000001,15.9908995626,31.0720728632,90,Ni,72,internal,,,,,,
-1.2372584342000001,15.9908995626,38.4928083422,91,Ni,72,internal,,,,,,
-2.4744415282,14.2140974996,32.3218431472,92,Ni,72,internal,,,,,,
-2.4744415282,14.2140974996,39.7428770062,93,Ni,72,internal,,,,,,
-7.4233999252,17.767702102599998,34.782291412199996,94,Ni,72,internal,,,,,,
-7.4233999252,17.767702102599998,42.2033252712,95,Ni,72,internal,,,,,,
-6.1861418482,19.5443973546,36.032360077199996,96,Ni,72,internal,,,,,,
-6.1861418482,19.5443973546,43.4530963902,97,Ni,72,internal,,,,,,
-6.1861418482,19.5443973546,31.0720728632,98,Ni,72,internal,,,,,,
-6.1861418482,19.5443973546,38.4928083422,99,Ni,72,internal,,,,,,
-7.4233999252,17.767702102599998,32.3218431472,100,Ni,72,internal,,,,,,
-7.4233999252,17.767702102599998,39.7428770062,101,Ni,72,internal,,,,,,
-4.9489579202,17.767702102599998,34.782291412199996,102,Ni,72,internal,,,,,,
-4.9489579202,17.767702102599998,42.2033252712,103,Ni,72,internal,,,,,,
-3.7116999622,19.5443973546,36.032360077199996,104,Ni,72,internal,,,,,,
-3.7116999622,19.5443973546,43.4530963902,105,Ni,72,internal,,,,,,
-3.7116999622,19.5443973546,31.0720728632,106,Ni,72,internal,,,,,,
-3.7116999622,19.5443973546,38.4928083422,107,Ni,72,internal,,,,,,
-4.9489579202,17.767702102599998,32.3218431472,108,Ni,72,internal,,,,,,
-4.9489579202,17.767702102599998,39.7428770062,109,Ni,72,internal,,,,,,
-2.4744415282,17.767702102599998,34.782291412199996,110,Ni,72,internal,,,,,,
-2.4744415282,17.767702102599998,42.2033252712,111,Ni,72,internal,,,,,,
-1.2372584342000001,19.5443973546,36.032360077199996,112,Ni,72,internal,,,,,,
-1.2372584342000001,19.5443973546,43.4530963902,113,Ni,72,internal,,,,,,
-1.2372584342000001,19.5443973546,31.0720728632,114,Ni,72,internal,,,,,,
-1.2372584342000001,19.5443973546,38.4928083422,115,Ni,72,internal,,,,,,
-2.4744415282,17.767702102599998,32.3218431472,116,Ni,72,internal,,,,,,
-2.4744415282,17.767702102599998,39.7428770062,117,Ni,72,internal,,,,,,
0.0,-10.6605997086,-29.8416996002,1,Cr,45,internal,,,,,,
0.0,-10.6605997086,-22.420964241199997,2,Cr,45,internal,,,,,,
0.0,-10.6605997086,-14.999930382199999,3,Cr,45,internal,,,,,,
1.237258077,-8.8837976456,-26.131182670199998,4,Cr,45,internal,,,,,,
1.237258077,-8.8837976456,-18.7104473112,5,Cr,45,internal,,,,,,
2.474442005,-10.6605997086,-29.8416996002,6,Cr,45,internal,,,,,,
2.474442005,-10.6605997086,-22.420964241199997,7,Cr,45,internal,,,,,,
