xcoord,ycoord,zcoord,atom_num,mat_org,matnum_org,surf_flag,num_neighbor,nb_vector_x,nb_vector_y,nb_vector_z,nb_vector_sum,polar_delta,R_atomic(A)
-11.358121176800001,-11.358121176800001,-22.8494760345,1,Ru,63,internal,,,,,,,1.34
-11.358121176800001,-11.358121176800001,-19.7096295805,2,Ru,63,internal,,,,,,,1.34
-11.358121176800001,-11.358121176800001,-16.5700272875,3,Ru,63,internal,,,,,,,1.34
-13.6297998428,-13.6297998428,-24.4193992615,4,Ru,63,internal,,,,,,,1.34
-13.6297998428,-13.6297998428,-21.2795528075,5,Ru,63,internal,,,,,,,1.34
-13.6297998428,-13.6297998428,-18.1397063535,6,Ru,63,internal,,,,,,,1.34
-13.6297998428,-13.6297998428,-15.0001044245,7,Ru,63,internal,,,,,,,1.34
-6.8148999218,-11.358121176800001,-22.8494760345,8,Ru,63,internal,,,,,,,1.34
-6.8148999218,-11.358121176800001,-19.7096295805,9,Ru,63,internal,,,,,,,1.34
-6.8148999218,-11.358121176800001,-16.5700272875,10,Ru,63,internal,,,,,,,1.34
-9.086578587800002,-13.6297998428,-24.4193992615,11,Ru,63,internal,,,,,,,1.34
-9.086578587800002,-13.6297998428,-21.2795528075,12,Ru,63,internal,,,,,,,1.34
-9.086578587800002,-13.6297998428,-18.1397063535,13,Ru,63,internal,,,,,,,1.34
-9.086578587800002,-13.6297998428,-15.0001044245,14,Ru,63,internal,,,,,,,1.34
-2.2716790718000013,-11.358121176800001,-22.8494760345,15,Ru,63,internal,,,,,,,1.34
-2.2716790718000013,-11.358121176800001,-19.7096295805,16,Ru,63,internal,,,,,,,1.34
-2.2716790718000013,-11.358121176800001,-16.5700272875,17,Ru,63,internal,,,,,,,1.34
-4.543220848800001,-13.6297998428,-24.4193992615,18,Ru,63,internal,,,,,,,1.34
-4.543220848800001,-13.6297998428,-21.2795528075,19,Ru,63,internal,,,,,,,1.34
-4.543220848800001,-13.6297998428,-18.1397063535,20,Ru,63,internal,,,,,,,1.34
-4.543220848800001,-13.6297998428,-15.0001044245,21,Ru,63,internal,,,,,,,1.34
-11.358121176800001,-6.8148999218,-22.8494760345,22,Ru,63,internal,,,,,,,1.34
-11.358121176800001,-6.8148999218,-19.7096295805,23,Ru,63,internal,,,,,,,1.34
-11.358121176800001,-6.8148999218,-16.5700272875,24,Ru,63,internal,,,,,,,1.34
-13.6297998428,-9.086578587800002,-24.4193992615,25,Ru,63,internal,,,,,,,1.34
-13.6297998428,-9.086578587800002,-21.2795528075,26,Ru,63,internal,,,,,,,1.34
-13.6297998428,-9.086578587800002,-18.1397063535,27,Ru,63,internal,,,,,,,1.34
-13.6297998428,-9.086578587800002,-15.0001044245,28,Ru,63,internal,,,,,,,1.34
-6.8148999218,-6.8148999218,-22.8494760345,29,Ru,63,internal,,,,,,,1.34
-6.8148999218,-6.8148999218,-19.7096295805,30,Ru,63,internal,,,,,,,1.34
-6.8148999218,-6.8148999218,-16.5700272875,31,Ru,63,internal,,,,,,,1.34
-9.086578587800002,-9.086578587800002,-24.4193992615,32,Ru,63,internal,,,,,,,1.34
-9.086578587800002,-9.086578587800002,-21.2795528075,33,Ru,63,internal,,,,,,,1.34
-9.086578587800002,-9.086578587800002,-18.1397063535,34,Ru,63,internal,,,,,,,1.34
-9.086578587800002,-9.086578587800002,-15.0001044245,35,Ru,63,internal,,,,,,,1.34
-2.2716790718000013,-6.8148999218,-22.8494760345,36,Ru,63,internal,,,,,,,1.34
-2.2716790718000013,-6.8148999218,-19.7096295805,37,Ru,63,internal,,,,,,,1.34
-2.2716790718000013,-6.8148999218,-16.5700272875,38,Ru,63,internal,,,,,,,1.34
-4.543220848800001,-9.086578587800002,-24.4193992615,39,Ru,63,internal,,,,,,,1.34
-4.543220848800001,-9.086578587800002,-21.2795528075,40,Ru,63,internal,,,,,,,1.34
-4.543220848800001,-9.086578587800002,-18.1397063535,41,Ru,63,internal,,,,,,,1.34
-4.543220848800001,-9.086578587800002,-15.0001044245,42,Ru,63,internal,,,,,,,1.34
-11.358121176800001,-2.2716790718000013,-22.8494760345,43,Ru,63,internal,,,,,,,1.34
-11.358121176800001,-2.2716790718000013,-19.7096295805,44,Ru,63,internal,,,,,,,1.34
-11.358121176800001,-2.2716790718000013,-16.5700272875,45,Ru,63,internal,,,,,,,1.34
-13.6297998428,-4.543220848800001,-24.4193992615,46,Ru,63,internal,,,,,,,1.34
-13.6297998428,-4.543220848800001,-21.2795528075,47,Ru,63,internal,,,,,,,1.34
-13.6297998428,-4.543220848800001,-18.1397063535,48,Ru,63,internal,,,,,,,1.34
-13.6297998428,-4.543220848800001,-15.0001044245,49,Ru,63,internal,,,,,,,1.34
-6.8148999218,-2.2716790718000013,-22.8494760345,50,Ru,63,internal,,,,,,,1.34
-6.8148999218,-2.2716790718000013,-19.7096295805,51,Ru,63,internal,,,,,,,1.34
-6.8148999218,-2.2716790718000013,-16.5700272875,52,Ru,63,internal,,,,,,,1.34
-9.086578587800002,-4.543220848800001,-24.4193992615,53,Ru,63,internal,,,,,,,1.34
-9.086578587800002,-4.543220848800001,-21.2795528075,54,Ru,63,internal,,,,,,,1.34
-9.086578587800002,-4.543220848800001,-18.1397063535,55,Ru,63,internal,,,,,,,1.34
-9.086578587800002,-4.543220848800001,-15.0001044245,56,Ru,63,internal,,,,,,,1.34
-2.2716790718000013,-2.2716790718000013,-22.8494760345,57,Ru,63,internal,,,,,,,1.34
-2.2716790718000013,-2.2716790718000013,-19.7096295805,58,Ru,63,internal,,,,,,,1.34
-2.2716790718000013,-2.2716790718000013,-16.5700272875,59,Ru,63,internal,,,,,,,1.34
-4.543220848800001,-4.543220848800001,-24.4193992615,60,Ru,63,internal,,,,,,,1.34
-4.543220848800001,-4.543220848800001,-21.2795528075,61,Ru,63,internal,,,,,,,1.34
-4.543220848800001,-4.543220848800001,-18.1397063535,62,Ru,63,internal,,,,,,,1.34
-4.543220848800001,-4.543220848800001,-15.0001044245,63,Ru,63,internal,,,,,,,1.34
-9.969380901800001,-12.7469977318,-22.8494760345,64,O,126,internal,,,,,,,0.74
-9.969380901800001,-12.7469977318,-19.7096295805,65,O,126,internal,,,,,,,0.74
-9.969380901800001,-12.7469977318,-16.5700272875,66,O,126,internal,,,,,,,0.74
-12.7469977318,-9.969380901800001,-22.8494760345,67,O,126,internal,,,,,,,0.74
-12.7469977318,-9.969380901800001,-19.7096295805,68,O,126,internal,,,,,,,0.74
-12.7469977318,-9.969380901800001,-16.5700272875,69,O,126,internal,,,,,,,0.74
-10.4753190658,-10.4753190658,-24.4193992615,70,O,126,internal,,,,,,,0.74
-10.4753190658,-10.4753190658,-21.2795528075,71,O,126,internal,,,,,,,0.74
-10.4753190658,-10.4753190658,-18.1397063535,72,O,126,internal,,,,,,,0.74
-10.4753190658,-10.4753190658,-15.0001044245,73,O,126,internal,,,,,,,0.74
-12.240923287800001,-12.240923287800001,-24.4193992615,74,O,126,internal,,,,,,,0.74
-12.240923287800001,-12.240923287800001,-21.2795528075,75,O,126,internal,,,,,,,0.74
-12.240923287800001,-12.240923287800001,-18.1397063535,76,O,126,internal,,,,,,,0.74
-12.240923287800001,-12.240923287800001,-15.0001044245,77,O,126,internal,,,,,,,0.74
-5.4260235698,-12.7469977318,-22.8494760345,78,O,126,internal,,,,,,,0.74
-5.4260235698,-12.7469977318,-19.7096295805,79,O,126,internal,,,,,,,0.74
-5.4260235698,-12.7469977318,-16.5700272875,80,O,126,internal,,,,,,,0.74
-8.2037766798,-9.969380901800001,-22.8494760345,81,O,126,internal,,,,,,,0.74
-8.2037766798,-9.969380901800001,-19.7096295805,82,O,126,internal,,,,,,,0.74
-8.2037766798,-9.969380901800001,-16.5700272875,83,O,126,internal,,,,,,,0.74
-5.932098012800001,-10.4753190658,-24.4193992615,84,O,126,internal,,,,,,,0.74
-5.932098012800001,-10.4753190658,-21.2795528075,85,O,126,internal,,,,,,,0.74
-5.932098012800001,-10.4753190658,-18.1397063535,86,O,126,internal,,,,,,,0.74
-5.932098012800001,-10.4753190658,-15.0001044245,87,O,126,internal,,,,,,,0.74
-7.6977022358000005,-12.240923287800001,-24.4193992615,88,O,126,internal,,,,,,,0.74
-7.6977022358000005,-12.240923287800001,-21.2795528075,89,O,126,internal,,,,,,,0.74
-7.6977022358000005,-12.240923287800001,-18.1397063535,90,O,126,internal,,,,,,,0.74
-7.6977022358000005,-12.240923287800001,-15.0001044245,91,O,126,internal,,,,,,,0.74
-0.8828019078000011,-12.7469977318,-22.8494760345,92,O,126,internal,,,,,,,0.74
-0.8828019078000011,-12.7469977318,-19.7096295805,93,O,126,internal,,,,,,,0.74
-0.8828019078000011,-12.7469977318,-16.5700272875,94,O,126,internal,,,,,,,0.74
-3.6604189408000014,-9.969380901800001,-22.8494760345,95,O,126,internal,,,,,,,0.74
-3.6604189408000014,-9.969380901800001,-19.7096295805,96,O,126,internal,,,,,,,0.74
-3.6604189408000014,-9.969380901800001,-16.5700272875,97,O,126,internal,,,,,,,0.74
-1.3888763518000005,-10.4753190658,-24.4193992615,98,O,126,internal,,,,,,,0.74
-1.3888763518000005,-10.4753190658,-21.2795528075,99,O,126,internal,,,,,,,0.74
-1.3888763518000005,-10.4753190658,-18.1397063535,100,O,126,internal,,,,,,,0.74
-1.3888763518000005,-10.4753190658,-15.0001044245,101,O,126,internal,,,,,,,0.74
-3.1544809808000007,-12.240923287800001,-24.4193992615,102,O,126,internal,,,,,,,0.74
-3.1544809808000007,-12.240923287800001,-21.2795528075,103,O,126,internal,,,,,,,0.74
-3.1544809808000007,-12.240923287800001,-18.1397063535,104,O,126,internal,,,,,,,0.74
-3.1544809808000007,-12.240923287800001,-15.0001044245,105,O,126,internal,,,,,,,0.74
-9.969380901800001,-8.2037766798,-22.8494760345,106,O,126,internal,,,,,,,0.74
-9.969380901800001,-8.2037766798,-19.7096295805,107,O,126,internal,,,,,,,0.74
-9.969380901800001,-8.2037766798,-16.5700272875,108,O,126,internal,,,,,,,0.74
-12.7469977318,-5.4260235698,-22.8494760345,109,O,126,internal,,,,,,,0.74
-12.7469977318,-5.4260235698,-19.7096295805,110,O,126,internal,,,,,,,0.74
-12.7469977318,-5.4260235698,-16.5700272875,111,O,126,internal,,,,,,,0.74
-10.4753190658,-5.932098012800001,-24.4193992615,112,O,126,internal,,,,,,,0.74
-10.4753190658,-5.932098012800001,-21.2795528075,113,O,126,internal,,,,,,,0.74
-10.4753190658,-5.932098012800001,-18.1397063535,114,O,126,internal,,,,,,,0.74
-10.4753190658,-5.932098012800001,-15.0001044245,115,O,126,internal,,,,,,,0.74
-12.240923287800001,-7.6977022358000005,-24.4193992615,116,O,126,internal,,,,,,,0.74
-12.240923287800001,-7.6977022358000005,-21.2795528075,117,O,126,internal,,,,,,,0.74
-12.240923287800001,-7.6977022358000005,-18.1397063535,118,O,126,internal,,,,,,,0.74
-12.240923287800001,-7.6977022358000005,-15.0001044245,119,O,126,internal,,,,,,,0.74
-5.4260235698,-8.2037766798,-22.8494760345,120,O,126,internal,,,,,,,0.74
-5.4260235698,-8.2037766798,-19.7096295805,121,O,126,internal,,,,,,,0.74
-5.4260235698,-8.2037766798,-16.5700272875,122,O,126,internal,,,,,,,0.74
-8.2037766798,-5.4260235698,-22.8494760345,123,O,126,internal,,,,,,,0.74
-8.2037766798,-5.4260235698,-19.7096295805,124,O,126,internal,,,,,,,0.74
-8.2037766798,-5.4260235698,-16.5700272875,125,O,126,internal,,,,,,,0.74
-5.932098012800001,-5.932098012800001,-24.4193992615,126,O,126,internal,,,,,,,0.74
-5.932098012800001,-5.932098012800001,-21.2795528075,127,O,126,internal,,,,,,,0.74
-5.932098012800001,-5.932098012800001,-18.1397063535,128,O,126,internal,,,,,,,0.74
-5.932098012800001,-5.932098012800001,-15.0001044245,129,O,126,internal,,,,,,,0.74
-7.6977022358000005,-7.6977022358000005,-24.4193992615,130,O,126,internal,,,,,,,0.74
-7.6977022358000005,-7.6977022358000005,-21.2795528075,131,O,126,internal,,,,,,,0.74
-7.6977022358000005,-7.6977022358000005,-18.1397063535,132,O,126,internal,,,,,,,0.74
-7.6977022358000005,-7.6977022358000005,-15.0001044245,133,O,126,internal,,,,,,,0.74
-0.8828019078000011,-8.2037766798,-22.8494760345,134,O,126,internal,,,,,,,0.74
-0.8828019078000011,-8.2037766798,-19.7096295805,135,O,126,internal,,,,,,,0.74
-0.8828019078000011,-8.2037766798,-16.5700272875,136,O,126,internal,,,,,,,0.74
-3.6604189408000014,-5.4260235698,-22.8494760345,137,O,126,internal,,,,,,,0.74
-3.6604189408000014,-5.4260235698,-19.7096295805,138,O,126,internal,,,,,,,0.74
-3.6604189408000014,-5.4260235698,-16.5700272875,139,O,126,internal,,,,,,,0.74
-1.3888763518000005,-5.932098012800001,-24.4193992615,140,O,126,internal,,,,,,,0.74
-1.3888763518000005,-5.932098012800001,-21.2795528075,141,O,126,internal,,,,,,,0.74
-1.3888763518000005,-5.932098012800001,-18.1397063535,142,O,126,internal,,,,,,,0.74
-1.3888763518000005,-5.932098012800001,-15.0001044245,143,O,126,internal,,,,,,,0.74
-3.1544809808000007,-7.6977022358000005,-24.4193992615,144,O,126,internal,,,,,,,0.74
-3.1544809808000007,-7.6977022358000005,-21.2795528075,145,O,126,internal,,,,,,,0.74
-3.1544809808000007,-7.6977022358000005,-18.1397063535,146,O,126,internal,,,,,,,0.74
-3.1544809808000007,-7.6977022358000005,-15.0001044245,147,O,126,internal,,,,,,,0.74
-9.969380901800001,-3.6604189408000014,-22.8494760345,148,O,126,internal,,,,,,,0.74
-9.969380901800001,-3.6604189408000014,-19.7096295805,149,O,126,internal,,,,,,,0.74
-9.969380901800001,-3.6604189408000014,-16.5700272875,150,O,126,internal,,,,,,,0.74
-12.7469977318,-0.8828019078000011,-22.8494760345,151,O,126,internal,,,,,,,0.74
-12.7469977318,-0.8828019078000011,-19.7096295805,152,O,126,internal,,,,,,,0.74
-12.7469977318,-0.8828019078000011,-16.5700272875,153,O,126,internal,,,,,,,0.74
-10.4753190658,-1.3888763518000005,-24.4193992615,154,O,126,internal,,,,,,,0.74
-10.4753190658,-1.3888763518000005,-21.2795528075,155,O,126,internal,,,,,,,0.74
-10.4753190658,-1.3888763518000005,-18.1397063535,156,O,126,internal,,,,,,,0.74
-10.4753190658,-1.3888763518000005,-15.0001044245,157,O,126,internal,,,,,,,0.74
-12.240923287800001,-3.1544809808000007,-24.4193992615,158,O,126,internal,,,,,,,0.74
-12.240923287800001,-3.1544809808000007,-21.2795528075,159,O,126,internal,,,,,,,0.74
-12.240923287800001,-3.1544809808000007,-18.1397063535,160,O,126,internal,,,,,,,0.74
-12.240923287800001,-3.1544809808000007,-15.0001044245,161,O,126,internal,,,,,,,0.74
-5.4260235698,-3.6604189408000014,-22.8494760345,162,O,126,internal,,,,,,,0.74
-5.4260235698,-3.6604189408000014,-19.7096295805,163,O,126,internal,,,,,,,0.74
-5.4260235698,-3.6604189408000014,-16.5700272875,164,O,126,internal,,,,,,,0.74
-8.2037766798,-0.8828019078000011,-22.8494760345,165,O,126,internal,,,,,,,0.74
-8.2037766798,-0.8828019078000011,-19.7096295805,166,O,126,internal,,,,,,,0.74
-8.2037766798,-0.8828019078000011,-16.5700272875,167,O,126,internal,,,,,,,0.74
-5.932098012800001,-1.3888763518000005,-24.4193992615,168,O,126,internal,,,,,,,0.74
-5.932098012800001,-1.3888763518000005,-21.2795528075,169,O,126,internal,,,,,,,0.74
-5.932098012800001,-1.3888763518000005,-18.1397063535,170,O,126,internal,,,,,,,0.74
-5.932098012800001,-1.3888763518000005,-15.0001044245,171,O,126,internal,,,,,,,0.74
-7.6977022358000005,-3.1544809808000007,-24.4193992615,172,O,126,internal,,,,,,,0.74
-7.6977022358000005,-3.1544809808000007,-21.2795528075,173,O,126,internal,,,,,,,0.74
-7.6977022358000005,-3.1544809808000007,-18.1397063535,174,O,126,internal,,,,,,,0.74
-7.6977022358000005,-3.1544809808000007,-15.0001044245,175,O,126,internal,,,,,,,0.74
-0.8828019078000011,-3.6604189408000014,-22.8494760345,176,O,126,internal,,,,,,,0.74
-0.8828019078000011,-3.6604189408000014,-19.7096295805,177,O,126,internal,,,,,,,0.74
-0.8828019078000011,-3.6604189408000014,-16.5700272875,178,O,126,internal,,,,,,,0.74
-3.6604189408000014,-0.8828019078000011,-22.8494760345,179,O,126,internal,,,,,,,0.74
-3.6604189408000014,-0.8828019078000011,-19.7096295805,180,O,126,internal,,,,,,,0.74
-3.6604189408000014,-0.8828019078000011,-16.5700272875,181,O,126,internal,,,,,,,0.74
-1.3888763518000005,-1.3888763518000005,-24.4193992615,182,O,126,internal,,,,,,,0.74
-1.3888763518000005,-1.3888763518000005,-21.2795528075,183,O,126,internal,,,,,,,0.74
-1.3888763518000005,-1.3888763518000005,-18.1397063535,184,O,126,internal,,,,,,,0.74
-1.3888763518000005,-1.3888763518000005,-15.0001044245,185,O,126,internal,,,,,,,0.74
-3.1544809808000007,-3.1544809808000007,-24.4193992615,186,O,126,internal,,,,,,,0.74
-3.1544809808000007,-3.1544809808000007,-21.2795528075,187,O,126,internal,,,,,,,0.74
-3.1544809808000007,-3.1544809808000007,-18.1397063535,188,O,126,internal,,,,,,,0.74
-3.1544809808000007,-3.1544809808000007,-15.0001044245,189,O,126,internal,,,,,,,0.74
-11.358121176800001,-11.358121176800001,1.569923227,1,Ru,63,internal,,,,,,,1.34
-11.358121176800001,-11.358121176800001,4.709769681,2,Ru,63,internal,,,,,,,1.34
-11.358121176800001,-11.358121176800001,7.849371974,3,Ru,63,internal,,,,,,,1.34
-13.6297998428,-13.6297998428,0.0,4,Ru,63,internal,,,,,,,1.34
-13.6297998428,-13.6297998428,3.139846454,5,Ru,63,internal,,,,,,,1.34
-13.6297998428,-13.6297998428,6.279692908,6,Ru,63,internal,,,,,,,1.34
-13.6297998428,-13.6297998428,9.419294837,7,Ru,63,internal,,,,,,,1.34
-6.8148999218,-11.358121176800001,1.569923227,8,Ru,63,internal,,,,,,,1.34
-6.8148999218,-11.358121176800001,4.709769681,9,Ru,63,internal,,,,,,,1.34
-6.8148999218,-11.358121176800001,7.849371974,10,Ru,63,internal,,,,,,,1.34
-9.086578587800002,-13.6297998428,0.0,11,Ru,63,internal,,,,,,,1.34
-9.086578587800002,-13.6297998428,3.139846454,12,Ru,63,internal,,,,,,,1.34
-9.086578587800002,-13.6297998428,6.279692908,13,Ru,63,internal,,,,,,,1.34
-9.086578587800002,-13.6297998428,9.419294837,14,Ru,63,internal,,,,,,,1.34
-2.2716790718000013,-11.358121176800001,1.569923227,15,Ru,63,internal,,,,,,,1.34
-2.2716790718000013,-11.358121176800001,4.709769681,16,Ru,63,internal,,,,,,,1.34
-2.2716790718000013,-11.358121176800001,7.849371974,17,Ru,63,internal,,,,,,,1.34
-4.543220848800001,-13.6297998428,0.0,18,Ru,63,internal,,,,,,,1.34
-4.543220848800001,-13.6297998428,3.139846454,19,Ru,63,internal,,,,,,,1.34
-4.543220848800001,-13.6297998428,6.279692908,20,Ru,63,internal,,,,,,,1.34
-4.543220848800001,-13.6297998428,9.419294837,21,Ru,63,internal,,,,,,,1.34
-11.358121176800001,-6.8148999218,1.569923227,22,Ru,63,internal,,,,,,,1.34
-11.358121176800001,-6.8148999218,4.709769681,23,Ru,63,internal,,,,,,,1.34
-11.358121176800001,-6.8148999218,7.849371974,24,Ru,63,internal,,,,,,,1.34
-13.6297998428,-9.086578587800002,0.0,25,Ru,63,internal,,,,,,,1.34
-13.6297998428,-9.086578587800002,3.139846454,26,Ru,63,internal,,,,,,,1.34
-13.6297998428,-9.086578587800002,6.279692908,27,Ru,63,internal,,,,,,,1.34
-13.6297998428,-9.086578587800002,9.419294837,28,Ru,63,internal,,,,,,,1.34
-6.8148999218,-6.8148999218,1.569923227,29,Ru,63,internal,,,,,,,1.34
-6.8148999218,-6.8148999218,4.709769681,30,Ru,63,internal,,,,,,,1.34
-6.8148999218,-6.8148999218,7.849371974,31,Ru,63,internal,,,,,,,1.34
-9.086578587800002,-9.086578587800002,0.0,32,Ru,63,internal,,,,,,,1.34
-9.086578587800002,-9.086578587800002,3.139846454,33,Ru,63,internal,,,,,,,1.34
-9.086578587800002,-9.086578587800002,6.279692908,34,Ru,63,internal,,,,,,,1.34
-9.086578587800002,-9.086578587800002,9.419294837,35,Ru,63,internal,,,,,,,1.34
-2.2716790718000013,-6.8148999218,1.569923227,36,Ru,63,internal,,,,,,,1.34
-2.2716790718000013,-6.8148999218,4.709769681,37,Ru,63,internal,,,,,,,1.34
-2.2716790718000013,-6.8148999218,7.849371974,38,Ru,63,internal,,,,,,,1.34
-4.543220848800001,-9.086578587800002,0.0,39,Ru,63,internal,,,,,,,1.34
-4.543220848800001,-9.086578587800002,3.139846454,40,Ru,63,internal,,,,,,,1.34
-4.543220848800001,-9.086578587800002,6.279692908,41,Ru,63,internal,,,,,,,1.34
-4.543220848800001,-9.086578587800002,9.419294837,42,Ru,63,internal,,,,,,,1.34
-11.358121176800001,-2.2716790718000013,1.569923227,43,Ru,63,internal,,,,,,,1.34
-11.358121176800001,-2.2716790718000013,4.709769681,44,Ru,63,internal,,,,,,,1.34
-11.358121176800001,-2.2716790718000013,7.849371974,45,Ru,63,internal,,,,,,,1.34
-13.6297998428,-4.543220848800001,0.0,46,Ru,63,internal,,,,,,,1.34
-13.6297998428,-4.543220848800001,3.139846454,47,Ru,63,internal,,,,,,,1.34
-13.6297998428,-4.543220848800001,6.279692908,48,Ru,63,internal,,,,,,,1.34
-13.6297998428,-4.543220848800001,9.419294837,49,Ru,63,internal,,,,,,,1.34
-6.8148999218,-2.2716790718000013,1.569923227,50,Ru,63,internal,,,,,,,1.34
-6.8148999218,-2.2716790718000013,4.709769681,51,Ru,63,internal,,,,,,,1.34
-6.8148999218,-2.2716790718000013,7.849371974,52,Ru,63,internal,,,,,,,1.34
-9.086578587800002,-4.543220848800001,0.0,53,Ru,63,internal,,,,,,,1.34
-9.086578587800002,-4.543220848800001,3.139846454,54,Ru,63,internal,,,,,,,1.34
-9.086578587800002,-4.543220848800001,6.279692908,55,Ru,63,internal,,,,,,,1.34
-9.086578587800002,-4.543220848800001,9.419294837,56,Ru,63,internal,,,,,,,1.34
-2.2716790718000013,-2.2716790718000013,1.569923227,57,Ru,63,internal,,,,,,,1.34
-2.2716790718000013,-2.2716790718000013,4.709769681,58,Ru,63,internal,,,,,,,1.34
-2.2716790718000013,-2.2716790718000013,7.849371974,59,Ru,63,internal,,,,,,,1.34
-4.543220848800001,-4.543220848800001,0.0,60,Ru,63,internal,,,,,,,1.34
-4.543220848800001,-4.543220848800001,3.139846454,61,Ru,63,internal,,,,,,,1.34
-4.543220848800001,-4.543220848800001,6.279692908,62,Ru,63,internal,,,,,,,1.34
-4.543220848800001,-4.543220848800001,9.419294837,63,Ru,63,internal,,,,,,,1.34
-9.969380901800001,-12.7469977318,1.569923227,64,O,126,internal,,,,,,,0.74
-9.969380901800001,-12.7469977318,4.709769681,65,O,126,internal,,,,,,,0.74
-9.969380901800001,-12.7469977318,7.849371974,66,O,126,internal,,,,,,,0.74
-12.7469977318,-9.969380901800001,1.569923227,67,O,126,internal,,,,,,,0.74
-12.7469977318,-9.969380901800001,4.709769681,68,O,126,internal,,,,,,,0.74
-12.7469977318,-9.969380901800001,7.849371974,69,O,126,internal,,,,,,,0.74
-10.4753190658,-10.4753190658,0.0,70,O,126,internal,,,,,,,0.74
-10.4753190658,-10.4753190658,3.139846454,71,O,126,internal,,,,,,,0.74
-10.4753190658,-10.4753190658,6.279692908,72,O,126,internal,,,,,,,0.74
-10.4753190658,-10.4753190658,9.419294837,73,O,126,internal,,,,,,,0.74
-12.240923287800001,-12.240923287800001,0.0,74,O,126,internal,,,,,,,0.74
-12.240923287800001,-12.240923287800001,3.139846454,75,O,126,internal,,,,,,,0.74
-12.240923287800001,-12.240923287800001,6.279692908,76,O,126,internal,,,,,,,0.74
-12.240923287800001,-12.240923287800001,9.419294837,77,O,126,internal,,,,,,,0.74
-5.4260235698,-12.7469977318,1.569923227,78,O,126,internal,,,,,,,0.74
-5.4260235698,-12.7469977318,4.709769681,79,O,126,internal,,,,,,,0.74
-5.4260235698,-12.7469977318,7.849371974,80,O,126,internal,,,,,,,0.74
-8.2037766798,-9.969380901800001,1.569923227,81,O,126,internal,,,,,,,0.74
-8.2037766798,-9.969380901800001,4.709769681,82,O,126,internal,,,,,,,0.74
-8.2037766798,-9.969380901800001,7.849371974,83,O,126,internal,,,,,,,0.74
-5.932098012800001,-10.4753190658,0.0,84,O,126,internal,,,,,,,0.74
-5.932098012800001,-10.4753190658,3.139846454,85,O,126,internal,,,,,,,0.74
-5.932098012800001,-10.4753190658,6.279692908,86,O,126,internal,,,,,,,0.74
-5.932098012800001,-10.4753190658,9.419294837,87,O,126,internal,,,,,,,0.74
-7.6977022358000005,-12.240923287800001,0.0,88,O,126,internal,,,,,,,0.74
-7.6977022358000005,-12.240923287800001,3.139846454,89,O,126,internal,,,,,,,0.74
-7.6977022358000005,-12.240923287800001,6.279692908,90,O,126,internal,,,,,,,0.74
-7.6977022358000005,-12.240923287800001,9.419294837,91,O,126,internal,,,,,,,0.74
-0.8828019078000011,-12.7469977318,1.569923227,92,O,126,internal,,,,,,,0.74
-0.8828019078000011,-12.7469977318,4.709769681,93,O,126,internal,,,,,,,0.74
-0.8828019078000011,-12.7469977318,7.849371974,94,O,126,internal,,,,,,,0.74
-3.6604189408000014,-9.969380901800001,1.569923227,95,O,126,internal,,,,,,,0.74
-3.6604189408000014,-9.969380901800001,4.709769681,96,O,126,internal,,,,,,,0.74
-3.6604189408000014,-9.969380901800001,7.849371974,97,O,126,internal,,,,,,,0.74
-1.3888763518000005,-10.4753190658,0.0,98,O,126,internal,,,,,,,0.74
-1.3888763518000005,-10.4753190658,3.139846454,99,O,126,internal,,,,,,,0.74
-1.3888763518000005,-10.4753190658,6.279692908,100,O,126,internal,,,,,,,0.74
-1.3888763518000005,-10.4753190658,9.419294837,101,O,126,internal,,,,,,,0.74
-3.1544809808000007,-12.240923287800001,0.0,102,O,126,internal,,,,,,,0.74
-3.1544809808000007,-12.240923287800001,3.139846454,103,O,126,internal,,,,,,,0.74
-3.1544809808000007,-12.240923287800001,6.279692908,104,O,126,internal,,,,,,,0.74
-3.1544809808000007,-12.240923287800001,9.419294837,105,O,126,internal,,,,,,,0.74
-9.969380901800001,-8.2037766798,1.569923227,106,O,126,internal,,,,,,,0.74
-9.969380901800001,-8.2037766798,4.709769681,107,O,126,internal,,,,,,,0.74
-9.969380901800001,-8.2037766798,7.849371974,108,O,126,internal,,,,,,,0.74
-12.7469977318,-5.4260235698,1.569923227,109,O,126,internal,,,,,,,0.74
-12.7469977318,-5.4260235698,4.709769681,110,O,126,internal,,,,,,,0.74
-12.7469977318,-5.4260235698,7.849371974,111,O,126,internal,,,,,,,0.74
-10.4753190658,-5.932098012800001,0.0,112,O,126,internal,,,,,,,0.74
-10.4753190658,-5.932098012800001,3.139846454,113,O,126,internal,,,,,,,0.74
-10.4753190658,-5.932098012800001,6.279692908,114,O,126,internal,,,,,,,0.74
-10.4753190658,-5.932098012800001,9.419294837,115,O,126,internal,,,,,,,0.74
-12.240923287800001,-7.6977022358000005,0.0,116,O,126,internal,,,,,,,0.74
-12.240923287800001,-7.6977022358000005,3.139846454,117,O,126,internal,,,,,,,0.74
-12.240923287800001,-7.6977022358000005,6.279692908,118,O,126,internal,,,,,,,0.74
-12.240923287800001,-7.6977022358000005,9.419294837,119,O,126,internal,,,,,,,0.74
-5.4260235698,-8.2037766798,1.569923227,120,O,126,internal,,,,,,,0.74
-5.4260235698,-8.2037766798,4.709769681,121,O,126,internal,,,,,,,0.74
